tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
188.00;331667964#4_1;46.11;12.56;120.00;2.00;37571582#0_1;2.70;0.00;tripinfo_Bus_911;68.00;Bus_911;0;558.95;0.93;0.00;24.59;Auto;;0;0.00
190.00;317371668#1_1;150.53;10.91;166.00;2.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1249;24.00;Bus_1249;0;147.83;0.80;0.00;9.79;Auto;;0;0.00
191.00;331667964#4_1;46.11;11.71;127.00;0.00;37571582#0_1;3.70;0.00;tripinfo_Bus_976;64.00;Bus_976;0;557.95;0.85;0.00;16.07;Car;;0;0.00
191.00;317371668#1_1;150.53;11.88;169.00;5.00;317371668#1_1;1.95;0.00;tripinfo_Bus_1250;22.00;Bus_1250;0;148.58;0.97;0.00;10.63;MotorCycle;;0;0.00
193.00;331667964#4_1;46.11;13.98;133.00;5.00;37571582#0_1;10.20;0.00;tripinfo_MotorCycle_986;60.00;MotorCycle_986;0;551.45;1.01;0.00;20.62;Bus;;1;1.00
193.00;317371668#1_1;150.53;13.12;171.00;5.00;317371668#1_1;1.95;0.00;tripinfo_Car_1264;22.00;Car_1264;0;148.58;0.95;0.00;10.07;MotorCycle;;0;0.00
195.00;331667964#4_1;46.11;14.58;138.00;10.00;37571582#0_1;2.70;0.00;tripinfo_MotorCycle_987;57.00;MotorCycle_987;0;558.95;1.11;0.00;20.46;Auto;;0;0.00
195.00;317371668#1_1;150.53;11.99;174.00;7.00;317371668#1_1;1.95;0.00;tripinfo_Car_1274;21.00;Car_1274;0;148.58;0.89;0.00;8.55;MotorCycle;;0;0.00
200.00;335563875#0_1;147.10;13.76;11.00;0.00;36907357#1_1;1.95;0.00;tripinfo_Auto_90;189.00;Auto_90;0;1797.73;1.02;0.00;60.31;MotorCycle;;0;0.00
203.00;317371668#1_1;150.53;12.19;179.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Auto_1360;24.00;Auto_1360;0;147.83;1.13;0.00;14.45;Auto;;0;0.00
205.00;317371668#1_1;150.53;13.03;183.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Auto_1361;22.00;Auto_1361;0;146.83;0.96;0.00;10.81;Car;;0;0.00
206.00;331667964#4_1;46.11;12.48;145.00;14.00;37571582#0_1;10.20;0.00;tripinfo_Car_1005;61.00;Car_1005;0;551.45;0.90;0.00;16.83;Bus;;0;0.00
208.00;317371668#1_1;150.53;12.01;186.00;5.00;317371668#1_1;1.95;0.00;tripinfo_Bus_1380;22.00;Bus_1380;0;148.58;0.87;0.00;9.08;MotorCycle;;0;0.00
210.00;331667964#4_1;46.11;12.18;148.00;17.00;37571582#0_1;1.95;0.00;tripinfo_Car_1006;62.00;Car_1006;0;559.70;0.90;0.00;16.71;MotorCycle;;0;0.00
211.00;173008341#6_1;117.82;15.59;13.00;6.00;330925771#2_1;10.20;0.00;tripinfo_Auto_57;198.00;Auto_57;0;1750.66;1.14;0.00;86.11;Bus;;2;3.00
215.00;331667964#4_1;46.11;10.57;152.00;21.00;37571582#0_1;3.70;0.00;tripinfo_Car_1007;63.00;Car_1007;0;557.95;0.78;0.00;11.41;Car;;0;0.00
217.00;331667964#4_1;46.11;11.85;156.00;23.00;37571582#0_1;3.70;0.00;tripinfo_Auto_1024;61.00;Auto_1024;0;557.95;1.04;0.00;21.85;Car;;0;0.00
217.00;317371668#1_1;150.53;11.75;192.00;8.00;317371668#1_1;10.20;0.00;tripinfo_Auto_1406;25.00;Auto_1406;0;140.33;1.02;0.00;14.37;Bus;;0;0.00
218.00;331667964#4_1;46.11;12.18;159.00;12.00;37571582#0_1;2.70;0.00;tripinfo_Bus_1130;59.00;Bus_1130;0;558.95;1.01;0.00;18.86;Auto;;0;0.00
219.00;317371668#1_1;150.53;13.01;196.00;12.00;317371668#1_1;3.70;0.00;tripinfo_Auto_1407;23.00;Auto_1407;0;146.83;1.24;0.00;13.73;Car;;0;0.00
220.00;317371668#1_1;150.53;12.53;199.00;7.00;317371668#1_1;1.95;0.00;tripinfo_Auto_1464;21.00;Auto_1464;0;148.58;0.97;0.00;9.82;MotorCycle;;0;0.00
222.00;-330925771#2_1;98.00;13.84;0.00;0.00;172932752#4_1;1.95;0.00;tripinfo_Car_2;222.00;Car_2;0;1945.35;1.01;0.00;80.50;MotorCycle;;2;27.00
223.00;331667964#4_1;46.11;12.87;162.00;15.00;37571582#0_1;1.95;0.00;tripinfo_Bus_1131;61.00;Bus_1131;0;559.70;0.95;0.00;18.39;MotorCycle;;0;0.00
223.00;317371668#1_1;150.53;14.23;202.00;3.00;317371668#1_1;1.95;0.00;tripinfo_Auto_1508;21.00;Auto_1508;0;148.58;1.06;0.00;10.16;MotorCycle;;0;0.00
224.00;173008341#6_1;117.82;11.94;16.00;5.00;330925771#2_1;1.95;0.00;tripinfo_Auto_91;208.00;Auto_91;0;1758.91;0.89;0.00;64.57;MotorCycle;;1;4.00
224.00;-330925771#2_1;98.00;13.39;14.00;0.00;172932752#4_1;2.70;0.00;tripinfo_Bus_123;210.00;Bus_123;0;1944.60;1.02;0.00;70.64;Auto;;2;9.00
224.00;331667964#4_1;46.11;13.84;166.00;17.00;37571582#0_1;3.70;0.00;tripinfo_Auto_1146;58.00;Auto_1146;0;557.95;1.13;0.00;22.39;Car;;0;0.00
225.00;173008341#6_1;117.82;12.58;19.00;7.00;330925771#2_1;2.70;0.00;tripinfo_Car_98;206.00;Car_98;0;1758.16;1.12;0.00;91.59;Auto;;1;3.00
226.00;-330925771#2_1;98.00;14.43;17.00;3.00;172932752#4_1;1.95;0.00;tripinfo_Bus_124;209.00;Bus_124;0;1945.35;1.06;0.00;73.23;MotorCycle;;1;7.00
