tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
430.00;-36907357#1_1;86.83;11.32;38.00;4.00;167462465_1;3.70;0.00;tripinfo_Bus_261;392.00;Bus_261;0;1939.77;1.13;0.00;268.29;Car;;6;163.00
431.00;-166751738#1_1;130.81;12.65;0.00;0.00;37555829#0_1;2.70;0.00;tripinfo_Car_3;431.00;Car_3;0;1639.90;1.08;0.00;320.05;Auto;;3;241.00
431.00;167457326_1;304.94;14.06;202.00;45.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1200;229.00;Auto_1200;0;500.26;1.14;0.00;196.59;Auto;;7;100.00
432.00;-36907357#1_1;86.83;11.01;24.00;2.00;167462465_1;1.95;0.00;tripinfo_MotorCycle_183;408.00;MotorCycle_183;0;1941.52;1.08;0.00;278.33;MotorCycle;;6;170.00
432.00;167457326_1;304.94;13.65;205.00;48.00;317766697#1_1;1.95;0.00;tripinfo_Auto_1201;227.00;Auto_1201;0;501.01;1.00;0.00;190.59;MotorCycle;;6;97.00
433.00;-166751738#1_1;130.81;11.50;18.00;13.00;37555829#0_1;3.70;0.00;tripinfo_Auto_49;415.00;Auto_49;0;1638.90;0.85;0.00;272.38;Car;;3;212.00
433.00;-36907357#1_1;86.83;10.55;27.00;4.00;167462465_1;2.70;0.00;tripinfo_Bus_192;406.00;Bus_192;0;1940.77;1.10;0.00;278.32;Auto;;6;164.00
433.00;167457326_1;304.94;14.29;209.00;46.00;317766697#1_1;3.70;0.00;tripinfo_MotorCycle_1245;224.00;MotorCycle_1245;0;499.26;1.10;0.00;191.08;Car;;6;97.00
434.00;167584712_1;145.02;13.44;32.00;3.00;-358333263#1_1;3.70;0.00;tripinfo_Bus_229;402.00;Bus_229;0;2003.16;0.99;0.00;266.64;Car;;5;167.00
435.00;167457326_1;304.94;14.61;213.00;48.00;317766697#1_1;3.70;0.00;tripinfo_Auto_1260;222.00;Auto_1260;0;499.26;1.13;0.00;189.54;Car;;6;97.00
435.00;317371668#1_1;150.53;11.87;411.00;15.00;317371668#1_1;2.70;0.00;tripinfo_Auto_3032;24.00;Auto_3032;0;147.83;0.86;0.00;10.76;Auto;;0;0.00
436.00;-166751738#1_1;130.81;12.05;24.00;12.00;37555829#0_1;10.20;0.00;tripinfo_Auto_100;412.00;Auto_100;0;1632.40;1.07;0.00;298.82;Bus;;3;204.00
436.00;167584712_1;145.02;13.12;36.00;2.00;-358333263#1_1;3.70;0.00;tripinfo_Car_256;400.00;Car_256;0;2003.16;0.96;0.00;259.92;Car;;5;163.00
436.00;167457326_1;304.94;14.19;216.00;49.00;317766697#1_1;2.70;0.00;tripinfo_Auto_1272;220.00;Auto_1272;0;500.26;1.03;0.00;184.48;Auto;;6;93.00
437.00;36897741#0_1;60.96;9.47;180.00;22.00;167456697_1;2.70;0.00;tripinfo_Bus_1211;257.00;Bus_1211;0;383.46;0.99;0.00;227.95;Auto;;5;137.00
437.00;317371668#1_1;150.53;12.93;415.00;19.00;317371668#1_1;3.70;0.00;tripinfo_Auto_3033;22.00;Auto_3033;0;146.83;0.95;0.00;10.36;Car;;0;0.00
