tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
114.00;167457326_1;304.94;13.63;60.00;4.00;317766697#1_1;3.70;0.00;tripinfo_MotorCycle_426;54.00;MotorCycle_426;0;499.26;1.05;0.00;19.70;Car;;1;1.00
114.00;317371668#1_1;150.53;11.16;93.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_727;21.00;Auto_727;0;148.58;0.82;0.00;7.67;MotorCycle;;0;0.00
116.00;167457326_1;304.94;13.73;64.00;7.00;317766697#1_1;2.70;0.00;tripinfo_MotorCycle_432;52.00;MotorCycle_432;0;500.26;1.05;0.00;17.04;Auto;;0;0.00
117.00;167457326_1;304.94;13.72;67.00;10.00;317766697#1_1;1.95;0.00;tripinfo_MotorCycle_433;50.00;MotorCycle_433;0;501.01;1.05;0.00;15.40;MotorCycle;;0;0.00
122.00;167457326_1;304.94;12.16;70.00;10.00;317766697#1_1;2.70;0.00;tripinfo_Car_451;52.00;Car_451;0;500.26;0.89;0.00;10.97;Auto;;0;0.00
124.00;167457326_1;304.94;13.36;72.00;12.00;317766697#1_1;1.95;0.00;tripinfo_Car_452;52.00;Car_452;0;501.01;0.98;0.00;14.12;MotorCycle;;1;1.00
125.00;167457326_1;304.94;13.30;76.00;15.00;317766697#1_1;1.95;0.00;tripinfo_MotorCycle_460;49.00;MotorCycle_460;0;501.01;1.12;0.00;16.37;MotorCycle;;0;0.00
125.00;317371668#1_1;150.53;11.20;100.00;0.00;317371668#1_1;10.20;0.00;tripinfo_Auto_774;25.00;Auto_774;0;140.33;0.85;0.00;12.63;Bus;;0;0.00
128.00;167457326_1;304.94;12.85;78.00;14.00;317766697#1_1;1.95;0.00;tripinfo_MotorCycle_479;50.00;MotorCycle_479;0;501.01;0.94;0.00;10.83;MotorCycle;;0;0.00
128.00;317371668#1_1;150.53;12.57;103.00;3.00;317371668#1_1;2.70;0.00;tripinfo_Auto_775;25.00;Auto_775;0;147.83;1.14;0.00;15.20;Auto;;1;1.00
129.00;167457326_1;304.94;13.65;82.00;16.00;317766697#1_1;2.70;0.00;tripinfo_Bus_492;47.00;Bus_492;0;500.26;1.16;0.00;15.26;Auto;;0;0.00
132.00;317371668#1_1;150.53;11.50;107.00;3.00;317371668#1_1;2.70;0.00;tripinfo_Bus_811;25.00;Bus_811;0;147.83;0.84;0.00;11.58;Auto;;0;0.00
133.00;317371668#1_1;150.53;12.02;110.00;6.00;317371668#1_1;1.95;0.00;tripinfo_Bus_812;23.00;Bus_812;0;148.58;1.12;0.00;13.29;MotorCycle;;0;0.00
137.00;167457326_1;304.94;11.94;85.00;10.00;317766697#1_1;1.95;0.00;tripinfo_Auto_569;52.00;Auto_569;0;501.01;0.86;0.00;9.47;MotorCycle;;0;0.00
138.00;167457326_1;304.94;12.60;88.00;10.00;317766697#1_1;3.70;0.00;tripinfo_Bus_601;50.00;Bus_601;0;499.26;0.99;0.00;13.21;Car;;0;0.00
143.00;317371668#1_1;150.53;12.45;119.00;0.00;317371668#1_1;2.70;0.00;tripinfo_MotorCycle_921;24.00;MotorCycle_921;0;147.83;0.91;0.00;11.75;Auto;;0;0.00
156.00;317371668#1_1;150.53;11.93;132.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1015;24.00;Bus_1015;0;147.83;1.23;0.00;14.26;Auto;;0;0.00
162.00;317371668#1_1;150.53;12.28;138.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1064;24.00;Bus_1064;0;147.83;1.04;0.00;13.34;Auto;;0;0.00
165.00;317371668#1_1;150.53;12.75;142.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Bus_1065;23.00;Bus_1065;0;146.83;0.92;0.00;10.76;Car;;0;0.00
170.00;317371668#1_1;150.53;12.26;146.00;0.00;317371668#1_1;2.70;0.00;tripinfo_Bus_1122;24.00;Bus_1122;0;147.83;1.24;0.00;14.66;Auto;;0;0.00
173.00;317371668#1_1;150.53;13.37;150.00;4.00;317371668#1_1;3.70;0.00;tripinfo_Bus_1123;23.00;Bus_1123;0;146.83;1.02;0.00;12.58;Car;;0;0.00
