tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
376.00;173008341#6_1;117.82;13.96;127.00;16.00;330925771#2_1;1.95;0.00;tripinfo_Car_855;249.00;Car_855;0;1758.91;1.03;0.00;124.69;MotorCycle;;5;46.00
376.00;167457326_1;304.94;14.15;158.00;35.00;317766697#1_1;1.95;0.00;tripinfo_Auto_945;218.00;Auto_945;0;501.01;1.09;0.00;184.37;MotorCycle;;5;87.00
377.00;-37555829#0_1;633.17;13.56;53.00;24.00;166751738#1_1;3.70;0.00;tripinfo_Auto_236;324.00;Auto_236;0;1637.77;1.04;0.00;207.82;Car;;6;95.00
377.00;167457326_1;304.94;14.01;161.00;38.00;317766697#1_1;3.70;0.00;tripinfo_Auto_946;216.00;Auto_946;0;499.26;1.08;0.00;182.22;Car;;5;85.00
377.00;317371668#1_1;150.53;13.91;356.00;0.00;317371668#1_1;1.95;0.00;tripinfo_Auto_2714;21.00;Auto_2714;0;148.58;1.02;0.00;9.68;MotorCycle;;0;0.00
378.00;-37555829#0_1;633.17;13.63;56.00;21.00;166751738#1_1;2.70;0.00;tripinfo_Bus_272;322.00;Bus_272;0;1638.77;1.05;0.00;207.06;Auto;;5;95.00
378.00;167457326_1;304.94;14.22;165.00;40.00;317766697#1_1;2.70;0.00;tripinfo_Car_966;213.00;Car_966;0;500.26;1.09;0.00;179.86;Auto;;4;82.00
380.00;-37555829#0_1;633.17;13.22;59.00;24.00;166751738#1_1;1.95;0.00;tripinfo_Bus_273;321.00;Bus_273;0;1639.52;0.98;0.00;197.09;MotorCycle;;6;92.00
380.00;36897741#0_1;60.96;9.04;168.00;13.00;167456697_1;2.70;0.00;tripinfo_Auto_1187;212.00;Auto_1187;0;383.46;0.93;0.00;181.06;Auto;;5;111.00
381.00;-37555829#0_1;633.17;13.25;62.00;25.00;166751738#1_1;2.70;0.00;tripinfo_Car_290;319.00;Car_290;0;1638.77;0.97;0.00;194.65;Auto;;5;86.00
382.00;167457326_1;304.94;12.51;168.00;39.00;317766697#1_1;1.95;0.00;tripinfo_Bus_992;214.00;Bus_992;0;501.01;0.90;0.00;173.37;MotorCycle;;4;79.00
383.00;335564510#0_1;141.66;13.16;10.00;0.00;167186112#0_1;2.70;0.00;tripinfo_MotorCycle_83;373.00;MotorCycle_83;0;1514.89;0.97;0.00;256.22;Auto;;4;169.00
383.00;-37555829#0_1;633.17;13.44;65.00;28.00;166751738#1_1;1.95;0.00;tripinfo_Car_291;318.00;Car_291;0;1639.52;0.97;0.00;192.86;MotorCycle;;5;86.00
383.00;167589230#4_1;143.24;10.26;47.00;6.00;167584430#0_1;3.70;0.00;tripinfo_Auto_324;336.00;Auto_324;0;1982.54;0.94;0.00;173.36;Car;;5;97.00
383.00;167457326_1;304.94;12.77;174.00;43.00;317766697#1_1;10.20;0.00;tripinfo_Auto_1003;209.00;Auto_1003;0;492.76;0.99;0.00;172.91;Bus;;4;75.00
384.00;-167186112#2_1;110.93;11.36;18.00;0.00;-167589230#4_1;2.70;0.00;tripinfo_MotorCycle_161;366.00;MotorCycle_161;0;1494.88;1.08;0.00;257.29;Auto;;3;177.00
384.00;-37555829#0_1;633.17;14.55;68.00;29.00;166751738#1_1;1.95;0.00;tripinfo_MotorCycle_306;316.00;MotorCycle_306;0;1639.52;1.06;0.00;201.50;MotorCycle;;5;85.00
384.00;36897741#0_1;60.96;9.09;174.00;16.00;167456697_1;10.20;0.00;tripinfo_Bus_1210;210.00;Bus_1210;0;375.96;1.09;0.00;183.76;Bus;;7;104.00
